Name,Required Materials,Price
Campfire,3× Tree Branch,30 Bells
Bonfire,"1× Campfire, 10× Wood","1,230 Bells"
Tiki Torch,"5× Tree Branch, 5× Wood",650 Bells
Clothesline,10× Tree Branch,100 Bells
Scarecrow,"3× Tree Branch, 5× Clump of Weeds",130 Bells
Simple DIY Workbench,"5× Hardwood, 1× Iron Nugget","1,350 Bells"
Mini DIY Workbench,"3× Wood, 3× Hardwood, 3× Softwood, 2× Iron Nugget","2,580 Bells"
DIY Workbench,"5x Wood, 5x Hardwood, 5x Softwood, 3x Iron Nugget, 1x Mini DIY Workbench","6,630 Bells"
Wooden Bookshelf,"5x Book, 10x Wood","1,925 Bells"
Wooden Stool,4× Wood,480 Bells
Wooden Chair,6× Wood,720 Bells
Wooden Mini Table,6× Wood,720 Bells
Wooden Low Table,10× Wood,"1,200 Bells"
Wooden Wardrobe,12× Wood,"1,440 Bells"
Wooden Simple Bed,18× Wood,"2,160 Bells"
Wooden Chest,16× Wood,"1,920 Bells"
Wooden Table,15x Wood,"1,800 Bells"
Wooden End Table,8× Wood,960 Bells
Wooden Full-Length Mirror,5× Wood 1x Iron Nugget,"1,350 Bells"
Wooden Double Bed,30× Wood,"3,600 Bells"
Wooden Waste Bin,4× Wood,480 Bells
Tiny Library,"3x Book, 5x Wood","1,035 Bells"
Log Stool,4× Hardwood,480 Bells
Log Round Table,15× Hardwood,"1,800 Bells"
Log Bench,5× Hardwood,600 Bells
Log Dining Table,15× Hardwood,"1,800 Bells"
Log Sofa,8× Hardwood,960 Bells
Log Extra-Long Sofa,2× Log Sofa,"1,920 Bells"
Log Bed,30× Hardwood,"3,600 Bells"
Log Garden Lounge,12× Hardwood,"1,440 Bells"
Log Decorative Shelves,"2× Log Bench, 3× Hardwood","1,560 Bells"
Log Stakes,3× Wood,360 Bells
Wild Log Bench,8x Hardwood,960 Bells
Wooden-Block Stool,"1× Wooden-Block Toy, 2× Softwood",600 Bells
Wooden-Block Chair,"1× Wooden-Block Toy, 3× Softwood",720 Bells
Wooden-Block Table,"1× Wooden-Block Toy, 8× Softwood","1,320 Bells"
Wooden-Block Chest,"1× Wooden-Block Toy, 12× Softwood","1,800 Bells"
Wooden-Block Bed,"1× Wooden Block Toy, 17× Softwood","2,400 Bells"
Wooden-Block Bookshelf,"1× Wooden-Block Toy, 3× Softwood",720 Bells
Wooden-Block Stereo,"1× Wooden-Block Toy, 5× Softwood, 2× Iron Nugget","2,460 Bells"
Wooden-Block Bench,"1× Wooden-Block Toy, 4× Softwood",840 Bells
Plain Sink,"6× Wood, 4× Clay, 1× Iron Nugget","2,270 Bells"
Plain Wooden Shop Sign,6× Wood,720 Bells
Natural Garden Chair,"6× Hardwood, 2× Iron Nugget","2,220 Bells"
Natural Square Table,"4x Hardwood, 2x Iron Nugget","1,980 Bells"
Natural Garden Table,"9× Hardwood, 3× Iron Nugget","3,330 Bells"
Bonsai Shelf,"1x Cherry-Blossom Bonsai, 1x Pine Bonsai Tree, 8x Wood","8,460 Bells"
Rocking Chair,"3× Wood, 5× Softwood",960 Bells
Swinging Bench,"5× Wood, 7× Softwood","1,440 Bells"
Acoustic Guitar,"8× Softwood, 3× Iron Nugget","3,210 Bells"
Street Piano,"1x Upright Piano, 1x Painting Set","26,755 Bells"
Grass Standee,"2× Wood, 2× Softwood",480 Bells
Tree Standee,"5× Wood, 8× Softwood","1,560 Bells"
Hedge Standee,"2× Wood, 3× Softwood",600 Bells
Mountain Standee,"4x Wood, 5x Softwood","1,080 Bells"
Tea Table,12× Hardwood,"1,440 Bells"
Trophy Case,"24× Hardwood, 3× Gold Nugget, 6× Iron Nugget","33,690 Bells"
Rocking Horse,5× Softwood,600 Bells
Clackercart,"2× Hardwood, 6× Softwood",960 Bells
Music Stand,8× Hardwood,960 Bells
Birdcage,8x Wood,960 Bells
Doghouse,"10× Wood, 7× Hardwood","2,040 Bells"
