Name,Required Materials,Price
Fossil Doorplate,"1× Fossil, 2× Stone",500 Bells
Bone Doorplate,3× Softwood,360 Bells
Log Wall-Mounted Clock,"2× Hardwood, 1x Iron Nugget",990 Bells
Wooden-Block Wall Clock,"1× Wooden-Block Toy, 2× Softwood, 1× Iron Nugget","1,350 Bells"
Key Holder,"3× Wood, 1× Iron Nugget","1,110 Bells"
Deer Decoration,8x Softwood,960 Bells
Boomerang,3× Hardwood,360 Bells
Wooden-Plank Sign,5× Hardwood,600 Bells
Crest Doorplate,4x Iron Nugget,"3,000 Bells"
Paw-Print Doorplate,3× Wood,360 Bells
Timber Doorplate,"2× Wood, 1× Pink Roses",400 Bells
Tree Branch Wreath,10x Tree Branch,100 Bells
Iron Doorplate,2x Iron Nugget,"1,500 Bells"
Iron Wall Lamp,"4× Iron Nugget, 2× Clay","3,400 Bells"
Iron Wall Rack,"3× Iron Nugget, 1× Clay","2,450 Bells"
Ironwood Clock,"2x Wood, 2x Iron Nugget","1,740 Bells"
Golden Gears,"1x Gold Nugget, 3x Iron Nugget","11,125 Bells"
Potted Ivy,"5× Clump of Weeds, 5× Clay","1,100 Bells"
Hanging Terrarium,"12× Clump of Weeds, 4× Iron Nugget","3,240 Bells"
Cherry Lamp,"8× Cherry, 2× Clay","2,400 Bells"
Orange Wall-Mounted Clock,"10× Orange, 2× Wood","2,240 Bells"
Coconut Wall Planter,"1x Coconut, 5x Clump of Weeds",600 Bells
Fruit Wreath,"2x Apple, 1x Pear, 3x Cherry, 3x Orange, 1x Peach","2,000 Bells"
Leo Sculpture,"3x Star Fragment, 2x Leo Fragment, 2x Gold Nugget, 3x Stone","21,975 Bells"
Sagittarius Arrow,"3x Star Fragment, 2x Sagittarius Fragment, 2x Gold Nugget","21,750 Bells"
Starry Garland,10x Star Fragment,"5,000 Bells"
Bamboo Wall Decoration,1× Bamboo Wood Piece,160 Bells
Cherry-Blossom Clock,"5x Cherry-Blossom Petal, 1x Iron Nugget","2,750 Bells"
Shell Wreath,"1× Summer Shell, 1× Sea Snail, 1× Sand Dollar, 1× Coral, 1× Giant Clam, 1× Cowrie","4,720 Bells"
Mushroom Wreath,"10× Tree Branch, 1× Round Mushroom, 1× Skinny Mushroom, 1× Flat Mushroom","1,500 Bells"
Mum Wreath,"3× White Mums, 3× Yellow Mums, 3× Red Mums",720 Bells
Fancy Mum Wreath,"3x Pink Mums, 3x Purple Mums, 3x Red Mums","1,200 Bells"
Natural Mum Wreath,10x Green Mums,"4,800 Bells"
Windflower Wreath,"3× Red Windflowers, 3× White Windflowers, 3× Orange Windflowers",
Chic Windflower Wreath,10x Purple Windflowers,"4,800 Bells"
Cool Windflower Wreath,"3x Blue Windflowers, 3x Pink Windflowers, 3x White Windflowers","1,200 Bells"
Cosmos Wreath,"3× Yellow Cosmos, 3× White Cosmos, 3× Red Cosmos",720 Bells
Chic Cosmos Wreath,10x Black Cosmos,"4,800 Bells"
Pretty Cosmos Wreath,"3x Orange Cosmos, 3x Pink Cosmos, 3x Red Cosmos","1,200 Bells"
Pansy Wreath,"3× Yellow Pansies, 3× White Pansies, 3× Red Pansies",720 Bells
Cool Pansy Wreath,10x Purple Pansies,"4,800 Bells"
Snazzy Pansy Wreath,"3x Orange Pansies, 3x Blue Pansies, 3x Yellow Pansies","1,200 Bells"
Tulip Wreath,"3× Red Tulips, 3× Yellow Tulips, 3× White Tulips",720 Bells
Dark Tulip Wreath,10x Black Tulips,"1,600 Bells"
Pretty Tulip Wreath,"3x Orange Tulips, 3x Pink Tulips, 3x Purple Tulips","2,400 Bells"
Rose Wreath,"3× Red Roses, 3× White Roses, 3× Yellow Roses",720 Bells
Dark Rose Wreath,"3x Black Roses, 6x Purple Roses","4,320 Bells"
Blue Rose Wreath,10x Blue Roses,"20,000 Bells"
Gold Rose Wreath,10x Gold Roses,"20,000 Bells"
Fancy Rose Wreath,"3x Orange Roses, 3x Pink Roses, 3x Yellow Roses","1,200 Bells"
Hyacinth Wreath,"3× White Hyacinth, 3× Red Hyacinth, 3× Yellow Hyacinth",720 Bells
Purple Hyacinth Wreath,10x Purple Hyacinths,"4,800 Bells"
Cool Hyacinth Wreath,"3x Orange Hyacinths, 3 Blue Hyacinths, 3 Pink Hyacinths","1,440 Bells"
Lily Wreath,"3x White Lilies, 3x Red Lilies, 3x Yellow Lilies",720 Bells
Dark Lily Wreath,10x Black Lilies,"1,600 Bells"
Fancy Lily Wreath,"3× Orange Lilies, 3× Pink Lilies, 3× Yellow Lilies","1,200 Bells"
Floral Swag,10x Clump of Weeds,200 Bells
Bunny Day Wall Clock,3x Sky Egg,"1,200 Bells"
Bunny Day Glowy Garland,"1x Earth Egg, 1x Stone Egg, 1x Leaf Egg, 1x Wood Egg, 1x Sky Egg, 1x Water Egg","2,400 Bells"
Bunny Day Wreath,"1x Earth Egg, 1x Stone Egg, 1x Leaf Egg, 1x Wood Egg, 1x Sky Egg, 1x Water Egg","2,400 Bells"
Tree’s Bounty Mobile,"2x Pinecone, 3x Acorn, 3x Tree Branch","2,030 Bells"
Ornament Mobile,"1x Red Ornament, 1x Blue Ornament, 1x Gold Ornament, 4x Tree Branch",340 Bells
Ornament Wreath,"6x Blue Ornament, 2x Gold Ornament",800 Bells
Snowflake Wreath,4x Snowflake,"1,600 Bells"
