Name,Required Materials,Price
Firewood,8x Wood,960 Bells
Wooden-Block Toy,3× Softwood,360 Bells
Wooden Table Mirror,"3× Wood, 1× Iron Nugget","1,110 Bells"
Ringtoss,"2× Wood, 2× Softwood",480 Bells
Matryoshka,5× Softwood,600 Bells
Wooden Fish,3× Wood,360 Bells
Old-Fashioned Washtub,3× Softwood,360 Bells
Decoy Duck,4× Softwood,480 Bells
Recycled-Can Thumb Piano,"1× Empty Can, 1× Wood, 1× Iron Nugget",890 Bells
Trash Bags,"1× Empty Can, 1x Boot, 1× Old Tire",60 Bells
Modeling Clay,2x Clay,400 Bells
Kettlebell,5× Iron Nugget,"3,750 Bells"
Magazine Rack,"3x Magazine, 4x Wood",690 Bells
Stacked Magazines,6x Magazine,630 Bells
Stack of Books,5x Book,725 Bells
Ukulele,5x Hardwood,600 Bells
Aroma Pot,3× Clay,600 Bells
Classic Pitcher,4× Clay,800 Bells
Pot,5× Clay,"1,000 Bells"
Unglazed Dish Set,3x Clay,600 Bells
Frying Pan,2× Iron Nugget,"1,500 Bells"
Cutting Board,"2x Hardwood, 1x Iron Nugget",990 Bells
Infused-Water Dispenser,"2x Apple, 2x Cherry, 2x Orange, 2x Peach, 2 Coconut","3,000 Bells"
Gold Bars,3x Gold Nugget,"30,000 Bells"
Golden Arowana Model,3x Gold Nugget,"30,000 Bells"
Golden Dung Beetle,3× Gold Nugget,"30,000 Bells"
Golden Candlestick,2× Gold Nugget,"20,000 Bells"
Golden Dishes,1× Gold Nugget,"10,000 Bells"
Lucky Gold Cat,"2 Gold Nugget, 1x Lucky Cat","21,675 Bells"
Libra Scale,"3x Star Fragment, 2x Libra Fragment, 2x Gold Nugget","21,750 Bells"
Scorpio Lamp,"3x Star Fragment, 2 Scorpio Fragment, 2x Gold Fragment, 5x Stone","22,125 Bells"
Nova Light,5x Star Fragment,"2,500 Bells"
Star Clock,"3x Star Fragment, 1x Iron Nugget","2,250 Bells"
Succulent Plant,"10× Clump of Weeds, 1× Empty Can",220 Bells
Terrarium,"12× Clump of Weeds, 2× Iron Nuggets","1,740 Bells"
Cherry Speakers,"10x Cherry, 2x Iron Nugget","3,500 Bells"
Coconut Juice,1x Coconut,500 Bells
Fruit Basket,"2x Apple, 1x Pear, 3x Cherry, 3x Orange, 1x Peach","1,000 Bells"
Peach Surprise Box,"10x Peach, 4x Softwood","2,480 Bells"
Bamboo Candleholder,"3x Bamboo Piece, 2x Clay",880 Bells
Bamboo Lunch Box,4x Bamboo Piece,640 Bells
Bamboo-Shoot Lamp,"4× Young Spring Bamboo, 5× Bamboo Shoot, 4× Clay","4,900 Bells"
Bamboo Drum,"3x Bamboo Piece, 2x Softwood",720 Bells
Bamboo Sphere,3x Bamboo Piece,480 Bells
Steamer-Basket Set,6x Young Bamboo,"2,400 Bells"
Cherry-Blossom Bonsai,"6x Cherry-Blossom Petal, 2x Hardwood, 3x Clump of Weeds, 3x Clay","3,300 Bells"
Shell Speaker,"3× Conch, 2× Iron Nugget",220 Bells
Shell Lamp,"2× Giant Clam, 3× Clay","4,200 Bells"
Hyacinth Lamp,"5× Purple Hyacinth, 3× Clay","3,000 Bells"
Windflower Fan,"3x Red Windflowers, 2x Iron Nugget","1,740 Bells"
Bunny Day Lamp,4x Wood Egg,"1,600 Bells"
Wobbling Zipper Toy,"4x Earth Egg, 4x Stone Egg, 4x Leaf Egg, 4x Wood Egg, 4x Sky Egg, 4x Water Egg",
Pine Bonsai Tree,"8x Pinecone, 5x Clay","4,200 Bells"
Traditional Balancing Toy,"4x Acorn, 2x Hardwood","1,840 Bells"
Tree’s Bounty Lamp,"6x Acorn, 4x Clay","3,200 Bells"
Festive Top Set,"2x Gold Ornament, 1x Hardwood",320 Bells
Holiday Candle,"5x Red Ornament, 5x Clump of Weeds",600 Bells
Tabletop Festive Tree,"5x Gold Ornament, 3x Tree Branch, 2x Clay",930 Bells
